#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
103,Zimbabwe,"247,094",,"5,460 ",,"240,584",,"1,050",12,"16,206",358,"2,219,566","145,575","15,246,924 ",Africa,"622,7927",,,69
104,Uzbekistan,"238,145",+47,"1,637 ",,"236,057",+28,451,23,"6,937",48,"1,377,915","40,137","34,330,089 ",Asia,"14420,97125",1,,13
105,Montenegro,"233,834",,"2,708 ",,"230,676",,450,6,"372,224","4,311","2,434,120","3,874,710","628,207 ",Europe,32320,,,716
106,Luxembourg,"226,339",,"1,051 ",,"210,026",,"15,262",3,"351,430","1,632","4,191,996","6,508,795","644,051 ",Europe,36130,,,"23,697"
107,Mozambique,"225,301",,"2,200 ",,"223,058",,43,13,"6,867",67,"1,303,571","39,733","32,808,668 ",Africa,"14614,91325",,,1
108,Kyrgyzstan,"200,970",,"2,991 ",,"196,303",,"1,676",131,"29,928",445,"1,907,195","284,011","6,715,218 ",Asia,"332,2454",,,250
109,Laos,"198,318",+929,707 ,+5,"7,660",,"189,951",,"26,574",95,"1,230,778","164,919","7,462,935 ",Asia,"3810,5566",124,0.7,"25,453"
110,Iceland,"183,974",,110 ,,"75,685",,"108,179",1,"532,989",319,"1,953,616","5,659,801","345,174 ",Europe,"23,1380",,,"313,404"
111,Maldives,"178,313",,298 ,,"163,687",,"14,328",25,"319,879",535,"2,213,831","3,971,432","557,439 ",Asia,"31,8710",,,"25,703"
112,Afghanistan,"178,295",+38,"7,676 ",,"161,417",+54,"9,202","1,124","4,404",190,"932,483","23,033","40,483,797 ",Asia,"2275,27443",0.9,,227
113,Uganda,"164,012",,"3,596 ",,"100,200",,"60,216",,"3,395",74,"2,592,957","53,681","48,302,914 ",Africa,"29513,43219",,,"1,247"
114,El Salvador,"162,089",,"4,124 ",,"150,662",,"7,303",8,"24,768",630,"1,950,448","298,038","6,544,303 ",North America,"401,5873",,,"1,116"
115,Ghana,"161,071",,"1,445 ",,"159,592",,34,1,"4,999",45,"2,428,236","75,355","32,223,793 ",Africa,"20022,30013",,,1
116,Namibia,"157,896",,"4,021 ",,"153,069",,806,,"60,207","1,533","991,139","377,928","2,622,562 ",Africa,176523,,,307
117,Martinique,"147,519",,918 ,,104,,"146,497",8,"393,649","2,450","828,928","2,211,961","374,748 ",North America,34080,,,"390,921"
118,Trinidad and Tobago,"140,781",,"3,787 ",,"130,528",,"6,466",18,"100,020","2,691","682,714","485,043","1,407,533 ",North America,103722,,,"4,594"
119,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,111","2,134","938,039","2,343,662","400,245 ",North America,34690,,,"342,355"
120,Brunei ,"139,278",+217,216 ,,"136,663",+350,"2,399",1,"313,044",485,"717,784","1,613,306","444,915 ",Asia,"32,0601",488,,"5,392"
121,Cambodia,"135,998",+18,"3,055 ",,"132,689",+23,254,,"7,939",178,"2,939,061","171,578","17,129,632 ",Asia,"1265,6076",1,,15
122,Rwanda,"129,751",,"1,458 ",,"45,522",,"82,771",1,"9,596",108,"5,173,899","382,634","13,521,800 ",Africa,"1049,2743",,,"6,121"
123,Jamaica,"129,093",,"2,917 ",,"82,094",,"44,082",,"43,260",978,"955,357","320,148","2,984,111 ",North America,"231,0233",,,"14,772"
124,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,321",70,"1,751,774","63,200","27,718,103 ",Africa,"23114,38416",,,2
125,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,860",55,"1,499,795","43,247","34,679,470 ",Africa,"35018,25223",,,4
126,Malta,"87,441",+408,669 ,+2,"77,693",+702,"9,079",4,"197,103","1,508","1,847,584","4,164,696","443,630 ",Europe,56630,920,5,"20,465"
127,DRC,"86,748",,"1,337 ",,"50,930",,"34,481",,919,14,"846,704","8,970","94,390,601 ",Africa,"1,08870,599111",,,365
128,Senegal,"85,954",+2,"1,965 ",,"83,970",+3,19,,"4,904",112,"1,057,173","60,318","17,526,638 ",Africa,"2048,91917",0.1,,1
129,Malawi,"85,707",,"2,628 ",,"81,660",,"1,419",67,"4,284",131,"567,114","28,346","20,006,849 ",Africa,"2337,61335",,,71
130,Ivory Coast,"81,834",,797 ,,"81,001",,36,,"2,972",29,"1,484,042","53,893","27,537,064 ",Africa,"33634,55119",,,1
131,French Guiana,"79,529",,394 ,,"11,254",,"67,881",4,"254,562","1,261","613,484","1,963,683","312,415 ",South America,47931,,,"217,278"
132,Suriname,"79,276",+35,"1,325 ",,"49,395",+3,"28,556",,"133,022","2,223","235,707","395,507","595,962 ",South America,84503,59,,"47,916"
133,French Polynesia,"72,570",,648 ,,N/A,N/A,N/A,7,"255,716","2,283",,,"283,791 ",Australia/Oceania,4438,,,"135,388"
134,Channel Islands,"71,989",,164 ,,"69,939",,"1,886",,"407,390",928,"1,251,599","7,082,866","176,708 ",Europe,"21,0770",,,"10,673"
135,Eswatini,"70,014",,"1,395 ",,"68,554",,65,11,"59,259","1,181","1,008,047","853,203","1,181,486 ",Africa,178471,,,55
136,Fiji,"64,499",,834 ,,"62,644",,"1,021",,"71,036",919,"505,948","557,226","907,976 ",Australia/Oceania,"141,0892",,,"1,124"
137,Madagascar,"64,089",,"1,390 ",,"59,355",,"3,344",14,"2,213",48,"415,532","14,352","28,953,847 ",Africa,"45220,83070",,,115
138,Guyana,"63,340",,"1,226 ",,"62,005",,109,2,"79,845","1,545","579,608","730,638","793,290 ",South America,136471,,,137
139,Barbados,"62,968",,379 ,,"59,521",,"3,068",,"218,639","1,316","626,701","2,176,045","288,000 ",North America,57600,,,"10,653"
140,Sudan,"62,034",,"4,925 ",,N/A,N/A,N/A,,"1,358",108,"562,941","12,327","45,665,628 ",Africa,"7369,27281",,,367
141,New Caledonia,"60,385",,312 ,,"60,011",,62,9,"207,959","1,074","98,964","340,820","290,370 ",Australia/Oceania,59313,,,214
142,Mauritania,"58,679",,982 ,,"57,685",,12,,"12,058",202,"791,559","162,656","4,866,458 ",Africa,"834,9566",,,2
143,Belize,"57,318",,672 ,,"56,466",,180,6,"139,651","1,637","529,147","1,289,228","410,437 ",North America,76111,,,439
144,Cabo Verde,"55,974",,401 ,,"55,512",,61,23,"98,771",708,"400,982","707,566","566,706 ",Africa,"101,4131",,,108
145,Syria,"55,750",,"3,147 ",,"51,879",,724,,"3,054",172,"146,269","8,013","18,254,865 ",Asia,"3275,801125",,,40
146,Gabon,"47,588",,303 ,,"47,270",,15,,"20,522",131,"1,589,113","685,285","2,318,907 ",Africa,"497,6531",,,6
147,Bhutan,"47,187","+2,131",14 ,,"37,034","+1,611","10,139",7,"59,982",18,"2,203,246","2,800,657","786,689 ",Asia,"1756,1920","2,709",,"12,888"
148,Papua New Guinea,"43,615",,649 ,,"42,906",,60,7,"4,716",70,"249,149","26,942","9,247,764 ",Australia/Oceania,"21214,24937",,,6
149,Curaçao,"41,153",,270 ,,"40,306",,577,3,"248,984","1,634","494,095","2,989,370","165,284 ",North America,46120,,,"3,491"
150,Seychelles,"40,866",,164 ,,"39,963",,739,,"411,011","1,649",,,"99,428 ",Africa,2606,,,"7,433"
151,Andorra,"40,328",,153 ,,"39,702",,473,14,"520,469","1,975","249,838","3,224,382","77,484 ",Europe,25060,,,"6,104"
152,Burundi,"38,698",,38 ,,773,,"37,887",,"3,091",3,"345,742","27,618","12,518,901 ",Africa,"324329,44536",,,"3,026"
153,Mauritius,"37,176",,985 ,,"35,002",,"1,189",,"29,146",772,"358,675","281,200","1,275,514 ",Africa,"341,2954",,,932
154,Mayotte,"36,958",,187 ,,"2,964",,"33,807",,"129,908",657,"176,919","621,875","284,493 ",Africa,"81,5212",,,"118,832"
155,Togo,"36,957",,272 ,,"36,659",,26,,"4,286",32,"723,005","83,847","8,622,956 ",Africa,"23331,70212",,,3
156,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,649",32,"660,107","47,957","13,764,673 ",Africa,"37831,28321",,,3
157,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,545",569,"778,000","15,815,580","49,192 ",Europe,"11,7570",,,"547,589"
158,Aruba,"34,189",,212 ,,"33,893",,84,2,"317,827","1,971","177,885","1,653,652","107,571 ",North America,35071,,,781
159,Tanzania,"33,851",,803 ,,N/A,N/A,N/A,7,539,13,,,"62,752,103 ",Africa,"1,85478,147",,,524
160,Bahamas,"33,366",,789 ,,"32,244",,333,11,"83,433","1,973","229,025","572,686","399,914 ",North America,125072,,,833
161,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,149",321,"431,221","198,500","2,172,395 ",Africa,"663,1175",,,"3,709"
162,Mali,"30,589",,729 ,,"29,673",,187,,"1,437",34,"656,480","30,842","21,285,407 ",Africa,"69629,19832",,,9
163,Haiti,"30,586",,835 ,,"29,100",,651,,"2,626",72,"132,422","11,367","11,649,250 ",North America,"38113,95188",,,56
164,Taiwan,"29,593",+933,854 ,,"21,473",+139,"7,266",,"1,239",36,"13,482,923","564,297","23,893,298 ",Asia,"80727,9782",39,,304
165,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"331,065","1,014","150,753","1,756,373","85,832 ",Europe,39871,,,"17,884"
166,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,124",13,"604,310","47,634","12,686,484 ",Africa,"47177,83121",,,101
167,Somalia,"26,471",,"1,350 ",,"13,182",,"11,939",,"1,587",81,"400,466","24,009","16,679,727 ",Africa,"63012,35542",,,716
168,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,181",67,"347,815","60,395","5,759,039 ",Africa,"23914,95917",,,611
169,Saint Lucia,"23,045",,365 ,,"22,616",,64,1,"124,489","1,972","141,332","763,474","185,117 ",North America,85071,,,346
170,Timor-Leste,"22,844",,130 ,,"22,703",,11,,"16,760",95,"259,277","190,225","1,363,005 ",Asia,"6010,4855",,,8
171,Cayman Islands,"21,121",,25 ,,"8,553",,"12,543",1,"314,807",373,"222,773","3,320,411","67,092 ",North America,"32,6840",,,"186,952"
172,Burkina Faso,"20,853",,382 ,,"20,439",,32,,951,17,"248,995","11,359","21,919,995 ",Africa,"1,05157,38288",,,1
173,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,734",33,,,"6,764,449 ",North America,"36630,064",,,"2,076"
174,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,753",13,,,"9,917,718 ",Asia,"57079,982",,,
175,South Sudan,"17,356",,138 ,,"13,514",,"3,704",1,"1,519",12,"367,971","32,203","11,426,665 ",Africa,"65882,80231",,,324
176,Gibraltar,"17,236",,101 ,,"16,579",,556,,"511,864","2,999","534,283","15,866,807","33,673 ",Europe,23330,,,"16,512"
177,Liechtenstein,"16,865",+31,84 ,,"16,432",+36,349,1,"440,087","2,192","102,174","2,666,197","38,322 ",Europe,24560,809,,"9,107"
178,Equatorial Guinea,"15,904",,183 ,,"15,696",,25,5,"10,712",123,"303,365","204,324","1,484,727 ",Africa,"938,1135",,,17
179,San Marino,"15,683",,114 ,,"15,225",,344,4,"460,479","3,347","147,532","4,331,787","34,058 ",Europe,22990,,,"10,100"
180,Djibouti,"15,595",,189 ,,"15,404",,2,,"15,387",186,"301,133","297,122","1,013,500 ",Africa,"655,3623",,,2
181,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,942",23,"81,294","16,328","4,978,786 ",Africa,"34044,06061",,,"1,542"
182,Grenada,"14,064",,219 ,,"13,793",,52,4,"123,968","1,930","145,445","1,282,030","113,449 ",North America,85181,,,458
183,Bermuda,"12,711",,129 ,,"12,362",,220,,"205,447","2,085","848,492","13,714,110","61,870 ",North America,54800,,,"3,556"
184,Solomon Islands,"12,285",,139 ,,"11,057",,"1,089",2,"17,139",194,"5,117","7,139","716,766 ",Australia/Oceania,"585,157140",,,"1,519"
185,Gambia,"11,990",,365 ,,"11,591",,34,,"4,726",144,"155,686","61,364","2,537,094 ",Africa,"2126,95116",,,13
186,Dominica,"11,981",,63 ,,"11,887",,31,,"165,705",871,"187,088","2,587,555","72,303 ",North America,"61,1480",,,429
187,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,220",369,"164,926","2,896,233","56,945 ",North America,"52,7120",,,"161,366"
188,Yemen,"11,814",,"2,147 ",,"9,000",,667,23,381,69,"265,253","8,559","30,991,448 ",Asia,"2,62314,435117",,,22
189,Monaco,"11,261",,54 ,,"10,990",,217,4,"283,395","1,359","54,960","1,383,129","39,736 ",Europe,47361,,,"5,461"
190,Saint Martin,"10,176",,63 ,,"1,399",,"8,714",7,"255,447","1,581","112,382","2,821,117","39,836 ",North America,46320,,,"218,747"
191,Sint Maarten,"9,888",,86 ,,"9,734",,68,10,"226,063","1,966","62,056","1,418,747","43,740 ",North America,45091,,,"1,555"
192,Eritrea,"9,732",,103 ,,"9,625",,4,,"2,678",28,"23,693","6,521","3,633,536 ",Africa,"37335,277153",,,1
193,Caribbean Netherlands,"9,341",,34 ,,"8,987",,320,,"350,428","1,276","30,126","1,130,177","26,656 ",North America,37841,,,"12,005"
194,Niger,"8,846",,308 ,,"8,488",,50,1,343,12,"244,837","9,504","25,760,392 ",Africa,"2,91283,638105",,,2
195,Tonga,"8,761",+202,11 ,,"6,900",+128,"1,850",,"81,255",102,"319,471","2,962,976","107,821 ",Australia/Oceania,"129,8020","1,873",,"17,158"
196,Guinea-Bissau,"8,175",,170 ,,"7,280",,725,6,"3,987",83,"131,390","64,076","2,050,521 ",Africa,"25112,06216",,,354
197,Comoros,"8,100",,160 ,,"7,933",,7,,"8,975",177,,,"902,468 ",Africa,"1115,640",,,8
198,Sierra Leone,"7,677",,125 ,,N/A,N/A,N/A,,929,15,"259,958","31,454","8,264,818 ",Africa,"1,07766,11932",,,331
199,Antigua and Barbuda,"7,523",,135 ,,"7,367",,21,1,"75,708","1,359","18,901","190,212","99,368 ",North America,137365,,,211
200,Liberia,"7,402",,294 ,,"5,747",,"1,361",2,"1,405",56,"139,824","26,539","5,268,578 ",Africa,"71217,92038",,,258
201,Chad,"7,378",,192 ,,"4,874",,"2,312",,427,11,"191,341","11,085","17,261,883 ",Africa,"2,34089,90690",,,134
202,St. Vincent Grenadines,"6,748",,106 ,,"6,639",,3,,"60,485",950,"98,692","884,614","111,565 ",North America,"171,0531",,,27
203,British Virgin Islands,"6,162",,62 ,,N/A,N/A,N/A,1,"201,452","2,027","102,294","3,344,253","30,588 ",North America,54930,,,621
204,Sao Tome and Principe,"5,948",,73 ,,"5,872",,3,,"26,274",322,"29,036","128,262","226,381 ",Africa,"383,1018",,,13
205,Turks and Caicos,"5,923",,36 ,,"5,859",,28,4,"149,393",908,"447,713","11,292,481","39,647 ",North America,"71,1010",,,706
206,Saint Kitts and Nevis,"5,554",,43 ,,"5,507",,4,,"103,106",798,"65,141","1,209,293","53,867 ",North America,"101,2531",,,74
207,Vanuatu,"5,536",,6 ,,"4,264",,"1,266",4,"17,307",19,"24,976","78,080","319,878 ",Australia/Oceania,"5853,31313",,,"3,958"
208,St. Barth,"4,313",,6 ,,N/A,N/A,N/A,,"434,340",604,"78,646","7,920,040","9,930 ",North America,"21,6550",,,"387,210"
209,Palau,"4,122",,6 ,,"3,803",,313,,"225,900",329,"42,138","2,309,311","18,247 ",Australia/Oceania,"43,0410",,,"17,154"
210,Samoa,"4,092",,9 ,,"1,605",,"2,478",3,"20,383",45,"32,653","162,652","200,754 ",Australia/Oceania,"4922,3066",,,"12,343"
211,Cook Islands,"3,584",, ,,"2,890",,694,,"203,717",,"13,938","792,247","17,593 ",Australia/Oceania,51,,,"39,448"
212,Kiribati,"3,069",,13 ,,"2,595",,461,3,"25,012",106,,,"122,701 ",Australia/Oceania,"409,439",,,"3,757"
213,Anguilla,"2,731",,9 ,,"2,716",,6,4,"179,188",591,"51,382","3,371,301","15,241 ",North America,"61,6930",,,394
214,Saint Pierre Miquelon,"2,509",,1 ,,"2,361",,147,1,"436,804",174,"22,826","3,973,886","5,744 ",North America,"25,7440",,,"25,592"
215,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,
216,Wallis and Futuna,454,,7 ,,438,,9,,"41,690",643,"20,508","1,883,196","10,890 ",Australia/Oceania,"241,5561",,,826
217,Montserrat,176,,2 ,,173,,1,,"35,221",400,"9,403","1,881,729","4,997 ",North America,"282,4991",,,200
218,Falkland Islands,128,, ,,N/A,N/A,N/A,,"34,973",,"8,632","2,358,470","3,660 ",South America,290,,,"1,093"
219,Macao,82,, ,,82,,0,,123,,"5,375","8,082","665,045 ",Asia,"8,110124",,,
220,Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe,28,,,
221,Western Sahara,10,,1 ,,8,,1,,16,2,,,"623,393 ",Africa,"62,339623,393",,,2
222,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,
223,Marshall Islands,7,, ,,7,,0,,117,,,,"59,899 ",Australia/Oceania,"8,557",,,
224,Niue,7,, ,,7,,0,,"4,253",,,,"1,646 ",Australia/Oceania,235,,,
225,Nauru,3,, ,,3,,0,,274,,,,"10,945 ",Australia/Oceania,"3,648",,,
226,Saint Helena,2,, ,,2,,0,,327,,,,"6,109 ",Africa,"3,055",,,
227,Micronesia,1,, ,,1,,0,,9,,,,"117,163 ",Australia/Oceania,"117,163",,,
228,China,"168,362","+1,513","4,638 ",,"141,898","+1,678","21,826",87,117,3,"160,000,000","111,163","1,439,323,776 ",Asia,"8,549310,3339",1,,15
